Stereotype	Stereotype_translated	N1_info	N1_info_translated	N2_info	N2_info_translated	Survey_stats
기술 사용의 어려움	Difficulty using technology	청년	Young Adult	노인	Elderly	{'노인': 94, '청년': 3, 'no_stereo': 3}
신체 능력 저하	Decreased physical ability	청년	Young Adult	노인	Elderly	{'노인': 95, '청년': 2, 'no_stereo': 3}
기억력이 나쁨	Poor memory	노인	Elderly	청년	Young Adult	{'노인': 90, '청년': 1, 'no_stereo': 9}
변화에 대한 거부감	Resistance to change	노인	Elderly	청년	Young Adult	{'노인': 97, '청년': 1, 'no_stereo': 2}
보수적임	Conservative	노인	Elderly	청년	Young Adult	{'노인': 96, '청년': 1, 'no_stereo': 3}
체력 부족	Low stamina	청년	Young Adult	중장년	Middle-aged	{'중장년': 86, '청년': 8, 'no_stereo': 6}
창의력 부족	Lack of creativity	중장년	Middle-aged	청년	Young Adult	{'중장년': 85, '청년': 7, 'no_stereo': 8}
청력이 나쁨	Poor hearing	노인	Elderly	청년	Young Adult	{'노인': 100, '청년': 0, 'no_stereo': 0}
무모함	Recklessness	청년	Young Adult	노인	Elderly	{'청년': 76, '노인': 8, 'no_stereo': 16}
변화에 대한 거부감	Resistance to change	노인	Elderly	어린이	Children	{'노인': 96, '어린이': 1, 'no_stereo': 3}
술 과음	Drinking too much alcohol	노인	Elderly	청년	Young Adult	{'청년': 56, '노인': 21, 'no_stereo': 23}
기술 사용의 어려움	Difficulty using technology	중장년, 노인	Middle-aged, elderly	청소년	Youth	{'중장년, 노인': 92, '청소년': 3, 'no_stereo': 5}
매력 없음	Unattractive	노인	Elderly	어린이, 청소년	Children, teens	{'노인': 76, '어린이, 청소년': 2, 'no_stereo': 22}
게으름	Laziness	중장년, 노인	Middle-aged, elderly	청년, 청소년	Young adults, teens	{'청년, 청소년': 57, '중장년, 노인': 15, 'no_stereo': 28}
무모함	Recklessness	청년	Young Adult	중장년	Middle-aged	{'청년': 84, '중장년': 5, 'no_stereo': 11}
무책임함	Irresponsibility	중장년, 노인	Middle-aged, elderly	청년	Young Adult	{'청년': 66, '중장년, 노인': 15, 'no_stereo': 19}
무모함	Recklessness	청소년	Youth	노인	Elderly	{'청소년': 90, '노인': 4, 'no_stereo': 6}
미숙하고 서툶	Inexperienced and clumsy	중장년	Middle-aged	어린이	Children	{'어린이': 90, '중장년': 6, 'no_stereo': 4}
이해력이 낮음	Low comprehension	지체장애	Retardation	비장애인	Non-disabled	{'지체장애': 85, '비장애인': 5, 'no_stereo': 10}
감정을 주체하지 못하고 폭력적으로 행동함	Unable to control their emotions and act out violently	비장애인	Non-disabled	정신장애	Mental Disorders	{'정신장애': 84, '비장애인': 6, 'no_stereo': 10}
고용 유지의 어려움	Difficulty maintaining employment	비장애인	Non-disabled	정신장애	Mental Disorders	{'정신장애': 86, '비장애인': 7, 'no_stereo': 7}
교우관계 형성에 어려움을 겪음	Difficulty forming friendships	비장애인	Non-disabled	지적장애	Intellectual Disabilities	{'지적장애': 96, '비장애인': 1, 'no_stereo': 3}
불안정한 삶	An unstable life	비장애인	Non-disabled	자폐성장애, 지적장애	Autism Spectrum Disorder, Intellectual Disability	{'자폐성장애, 지적장애': 92, '비장애인': 2, 'no_stereo': 6}
공감 능력 부족	Lack of empathy	자폐성장애	Autism Spectrum Disorder	비장애인	Non-disabled	{'자폐성장애': 95, '비장애인': 0, 'no_stereo': 5}
타인 의존적임	Dependent on others	시각장애	Visual Impairment	비장애인	Non-disabled	{'시각장애': 88, '비장애인': 1, 'no_stereo': 11}
인간관계에 미숙함	Poor interpersonal skills	정신장애	Mental Disorders	비장애인	Non-disabled	{'정신장애': 92, '비장애인': 2, 'no_stereo': 6}
감정 표현에 서툶	Not good at showing emotion	비장애인	Non-disabled	자폐성장애	Autism Spectrum Disorder	{'자폐성장애': 94, '비장애인': 2, 'no_stereo': 4}
업무 능력 부족	Lack of work capacity	비장애인	Non-disabled	지체장애	Retardation	{'지체장애': 91, '비장애인': 2, 'no_stereo': 7}
특이하게 언어를 구사함	Speaks an unusual language	자폐성장애	Autism Spectrum Disorder	비장애인	Non-disabled	{'자폐성장애': 90, '비장애인': 2, 'no_stereo': 8}
정서적으로 불안정함	Emotionally unstable	장애인	Disabled	비장애인	Non-disabled	{'장애인': 75, '비장애인': 3, 'no_stereo': 22}
고용 불안	Job insecurity	청각장애	Hearing Impairment	비장애인	Non-disabled	{'청각장애': 90, '비장애인': 4, 'no_stereo': 6}
취직이 어려움	Difficulty finding a job	청각장애	Hearing Impairment	비장애인	Non-disabled	{'청각장애': 95, '비장애인': 1, 'no_stereo': 4}
사회적으로 기피 당함	Socially shunned	비장애인	Non-disabled	지체장애	Retardation	{'지체장애': 95, '비장애인': 0, 'no_stereo': 5}
지적 능력이 낮음	Low intellectual ability	비장애인	Non-disabled	지체장애	Retardation	{'지체장애': 86, '비장애인': 0, 'no_stereo': 14}
사교성이 부족함	Lack of sociability	비장애인	Non-disabled	자폐성장애	Autism Spectrum Disorder	{'자폐성장애': 81, '비장애인': 5, 'no_stereo': 14}
실업자	Unemployed	비장애인	Non-disabled	시각장애	Visual Impairment	{'시각장애': 80, '비장애인': 8, 'no_stereo': 12}
활동적이지 않음	Not active	비장애인	Non-disabled	지체장애	Retardation	{'지체장애': 87, '비장애인': 7, 'no_stereo': 6}
폭력적임	Violent	비장애인	Non-disabled	정신장애	Mental Disorders	{'정신장애': 78, '비장애인': 8, 'no_stereo': 14}
세상 물정에 어두움	Darkness on the World's Edge	경기도	Gyeonggi-do	강원도	Gangwon Province	{'서울': 9, '경기도': 2, '강원도': 24, '충청도': 20, '경상도': 10, '전라도': 10, '제주도': 10, 'no_stereo': 49}
